true_person,query_image,pred_person,best_person,similarity,threshold,decision,correct,query_face_count,query_det_score,enroll_image
nx,data/face_test_by_person/nx/nx3.jpg,nx,nx,0.551822,0.500000,matched,true,1,0.7828,data/face_test_by_person/nx/nx1.jpg
nx,data/face_test_by_person/nx/nx4.jpg,nx,nx,0.641850,0.500000,matched,true,1,0.7722,data/face_test_by_person/nx/nx1.jpg
nx,data/face_test_by_person/nx/nx5.jpg,nx,nx,0.607694,0.500000,matched,true,1,0.8586,data/face_test_by_person/nx/nx1.jpg
nx,data/face_test_by_person/nx/nx6.jpg,nx,nx,0.755109,0.500000,matched,true,1,0.8098,data/face_test_by_person/nx/nx11.jpg
nx,data/face_test_by_person/nx/nx7.jpg,nx,nx,0.687639,0.500000,matched,true,1,0.7029,data/face_test_by_person/nx/nx10.jpg
nx,data/face_test_by_person/nx/nx8.jpg,nx,nx,0.706635,0.500000,matched,true,1,0.8889,data/face_test_by_person/nx/nx1.jpg
nx,data/face_test_by_person/nx/nx9.jpg,nx,nx,0.639804,0.500000,matched,true,1,0.7457,data/face_test_by_person/nx/nx1.jpg
syy,data/face_test_by_person/syy/syy12.jpg,syy,syy,0.671839,0.500000,matched,true,1,0.7689,data/face_test_by_person/syy/syy11.jpg
syy,data/face_test_by_person/syy/syy13.jpg,syy,syy,0.810972,0.500000,matched,true,1,0.9049,data/face_test_by_person/syy/syy11.jpg
syy,data/face_test_by_person/syy/syy14.jpg,syy,syy,0.628196,0.500000,matched,true,1,0.8568,data/face_test_by_person/syy/syy11.jpg
syy,data/face_test_by_person/syy/syy15.jpg,syy,syy,0.607253,0.500000,matched,true,1,0.8284,data/face_test_by_person/syy/syy1.jpg
syy,data/face_test_by_person/syy/syy16.jpg,syy,syy,0.623698,0.500000,matched,true,1,0.8759,data/face_test_by_person/syy/syy11.jpg
syy,data/face_test_by_person/syy/syy17.jpg,syy,syy,0.640263,0.500000,matched,true,1,0.9022,data/face_test_by_person/syy/syy11.jpg
syy,data/face_test_by_person/syy/syy2.jpg,syy,syy,0.641561,0.500000,matched,true,1,0.9032,data/face_test_by_person/syy/syy1.jpg
syy,data/face_test_by_person/syy/syy3.jpg,syy,syy,0.508846,0.500000,matched,true,1,0.8447,data/face_test_by_person/syy/syy1.jpg
syy,data/face_test_by_person/syy/syy5.jpg,syy,syy,0.656851,0.500000,matched,true,1,0.8513,data/face_test_by_person/syy/syy11.jpg
syy,data/face_test_by_person/syy/syy6.jpg,syy,syy,0.658737,0.500000,matched,true,1,0.9007,data/face_test_by_person/syy/syy11.jpg
syy,data/face_test_by_person/syy/syy7.jpg,syy,syy,0.604790,0.500000,matched,true,1,0.8553,data/face_test_by_person/syy/syy11.jpg
syy,data/face_test_by_person/syy/syy8.jpg,syy,syy,0.667510,0.500000,matched,true,1,0.8223,data/face_test_by_person/syy/syy11.jpg
syy,data/face_test_by_person/syy/syy9.jpg,syy,syy,0.535233,0.500000,matched,true,1,0.7934,data/face_test_by_person/syy/syy10.jpg
xzh,data/face_test_by_person/xzh/xzh2.jpg,xzh,xzh,0.561388,0.500000,matched,true,1,0.8478,data/face_test_by_person/xzh/xzh1.jpg
xzh,data/face_test_by_person/xzh/xzh3.jpg,xzh,xzh,0.695615,0.500000,matched,true,1,0.871,data/face_test_by_person/xzh/xzh1.jpg
xzh,data/face_test_by_person/xzh/xzh4.jpg,xzh,xzh,0.534667,0.500000,matched,true,1,0.7949,data/face_test_by_person/xzh/xzh11.jpg
xzh,data/face_test_by_person/xzh/xzh5.jpg,xzh,xzh,0.569973,0.500000,matched,true,1,0.7829,data/face_test_by_person/xzh/xzh11.jpg
xzh,data/face_test_by_person/xzh/xzh6.jpg,xzh,xzh,0.878282,0.500000,matched,true,1,0.7003,data/face_test_by_person/xzh/xzh10.jpg
xzh,data/face_test_by_person/xzh/xzh7.jpg,xzh,xzh,0.588172,0.500000,matched,true,1,0.5713,data/face_test_by_person/xzh/xzh10.jpg
xzh,data/face_test_by_person/xzh/xzh8.jpg,,xzh,0.446751,0.500000,unknown_person,false,1,0.641,data/face_test_by_person/xzh/xzh1.jpg
xzh,data/face_test_by_person/xzh/xzh9.jpg,xzh,xzh,0.672270,0.500000,matched,true,1,0.7957,data/face_test_by_person/xzh/xzh11.jpg
yjr,data/face_test_by_person/yjr/yjr4.jpg,yjr,yjr,0.647380,0.500000,matched,true,1,0.8197,data/face_test_by_person/yjr/yjr3.jpg
yzh,data/face_test_by_person/yzh/yzh4.jpg,yzh,yzh,0.676124,0.500000,matched,true,1,0.8698,data/face_test_by_person/yzh/yzh1.jpg
yzh,data/face_test_by_person/yzh/yzh5.jpg,yzh,yzh,0.587253,0.500000,matched,true,1,0.7403,data/face_test_by_person/yzh/yzh3.jpg
yzh,data/face_test_by_person/yzh/yzh6.jpg,yzh,yzh,0.719342,0.500000,matched,true,1,0.8321,data/face_test_by_person/yzh/yzh3.jpg
zr,data/face_test_by_person/zr/zr4.jpg,zr,zr,0.591748,0.500000,matched,true,1,0.9042,data/face_test_by_person/zr/zr1.jpg
zr,data/face_test_by_person/zr/zr5.jpg,,zr,0.464069,0.500000,unknown_person,false,1,0.7813,data/face_test_by_person/zr/zr2.jpg
zxy,data/face_test_by_person/zxy/zxy4.jpg,,zxy,0.348025,0.500000,unknown_person,false,1,0.6454,data/face_test_by_person/zxy/zxy1.jpg
zxy,data/face_test_by_person/zxy/zxy5.jpg,,,,0.5,no_face,false,0,,
zxy,data/face_test_by_person/zxy/zxy6.jpg,zxy,zxy,0.540878,0.500000,matched,true,1,0.7219,data/face_test_by_person/zxy/zxy2.jpg
zxy,data/face_test_by_person/zxy/zxy7.jpg,zxy,zxy,0.648817,0.500000,matched,true,1,0.7747,data/face_test_by_person/zxy/zxy1.jpg
zxy,data/face_test_by_person/zxy/zxy8.jpg,zxy,zxy,0.517704,0.500000,matched,true,1,0.858,data/face_test_by_person/zxy/zxy3.jpg
zxy,data/face_test_by_person/zxy/zxy9.jpg,zxy,zxy,0.825971,0.500000,matched,true,1,0.8746,data/face_test_by_person/zxy/zxy3.jpg
